code,title
CSCD 110,Intro to Programming
CSCD 210,Prog Principles I
CSCD 211,Prog Principles II
CSCD 371,C#.NET
CSCD 372,Android
CSCD 373,iPhone
CSCD 377,Introductory Computer Graphics
CSCD 409,Scientific Programming
CSCD 420,Automata
CSCD 423,Randomized Algorithms & Probabilistic Analysis
CSCD 427,Advanced Database
CSCD 429,Data Mining
CSCD 430,Big Data Analytics
CSCD 433,Advanced Networks
CSCD 439,Special Topics
CSCD 440,Advanced Operating Systems
CSCD 443,Distributed Multiprocessing
CSCD 445,GPU Computing
CSCD 460,Advanced Arch
CSCD 461,Embedded Systems
CSCD 462,Embedded Real-Time Control
CSCD 467,Parallel & Cloud Computing
CSCD 470,3D Graphics
CSCD 471,Advanced 3D Graphics Prog
CSCD 474,Game Development
CSCD 477,Virtual Reality & Data Visualization
CSCD 480,Intelligent Systems
CSCD 483,Modeling and Simulation
CSCD 487,Human Computer Interface
CSCD 495,Internship - CS1 Elective
CSCD 496,Machine Learning
CSCD 255,C for Engineers - Service W
CSCD 501,Advanced Algorithms
CSCD 506,Research Methods in CS
CSCD 524,Advanced SW Engineering
CSCD 527,Modern Database Systems
CSCD 500,Colloquium
CSCD 523,Probabalistic Methods in CS
CSCD 529,Data Mining
CSCD 530,Big Data Analytics
CSCD 533,Advanced Networks
CSCD 534,Network Security
CSCD 539,Introductory Computer Graphics
CSCD 539,Scientific Programming
CSCD 540,Advanced Operating Systems
CSCD 544,Time-Critical Networking
CSCD 545,GPU Computing
CSCD 561,Embedded Systems
CSCD 562,Embedded Real-Time Control
CSCD 567,Parallel & Cloud Computing
CSCD 570,3D Graphics Principles
CSCD 470,3D Graphics
CSCD 577,Intro Virtual Reality & Data Visualization
CSCD 580,Intelligent Systems
CSCD 583,Modeling and Simulation
CSCD 587,Human Computer Interface
MATH 107,MATHEMATICAL REASONING
MATH 114,ALGEBRA CONCEPTS
MATH 121,INTRODUCTORY STATISTICS
MATH 130,ESSENTIALS FOR MATH REASONING
MATH 131,ESSENTIALS FOR ALGEBRA CONCEPTS
MATH 141,PRECALCULUS I
MATH 142,PRECALCULUS MATH II
MATH 161,CALCULUS I
MATH 162,CALCULUS II
MATH 163,CALCULUS III
MATH 196,EXPERIMENTAL
MATH 200,FINITE MATHEMATICS
MATH 208,MATHEMATICS FOR ELEMENTARY TEACHERS I
MATH 209,MATHEMATICS FOR ELEMENTARY TEACHERS II
MATH 210,MATHEMATICS FOR ELEMENTARY TEACHERS III
MATH 225,FOUNDATIONS OF MATHEMATICS
MATH 231,LINEAR ALGEBRA
MATH 241,CALCULUS IV
MATH 296,EXPERIMENTAL
MATH 297,WORKSHOP SHORT COURSE CONFERENCE
MATH 298,SEMINAR
MATH 299,SPECIAL STUDIES
MATH 301,DISCRETE MATHEMATICS
MATH 307,MATHEMATICAL COMPUTING LABORATORY III
MATH 311,FUNCTIONS AND RELATIONS FOR K-8 TEACHERS
MATH 312,GEOMETRY FOR THE K-8 TEACHER
MATH 313,PATTERNS  RELATIONS AND ALGEBRAIC THINKING FOR PRIMARY TEACHERS
MATH 320,HISTORY OF MATHEMATICS
MATH 321,PRECOLONIAL MATHEMATICS TRADITIONS
MATH 331,DISCRETE MATHEMATICS WITH APPLICATIONS
MATH 332,NUMBER THEORY
MATH 341,TOPICS IN APPLIED ANALYSIS I
MATH 342,TOPICS IN APPLIED ANALYSIS II
MATH 343,TOPICS IN APPLIED ANALYSIS III
MATH 347,INTRODUCTORY DIFFERENTIAL EQUATIONS
MATH 350,BIOMATHEMATICS
MATH 370,SURVEY OF GEOMETRIES
MATH 380,ELEMENTARY PROBABILITY AND STATISTICS
MATH 385,PROBABILITY AND STATISTICAL INFERENCE I
MATH 387,REGRESSION CONCEPTS
MATH 395,CO-OP FIELDWORK
MATH 396,EXPERIMENTAL COURSE
MATH 399,SPECIAL STUDIES IN MATH
MATH 401,ADVANCED FORMAL LOGIC
MATH 407,MATHEMATICAL COMPUTING LABORATORY IV
MATH 411,DISCRETE MATHEMATICS FOR K-8 TEACHERS
MATH 413,DATA ANALYSIS AND PROBABILITY FOR MIDDLE LEVEL TEACHERS
MATH 416,CALCULUS FOR MIDDLE LEVEL TEACHERS
MATH 420,PROBLEM SOLVING FOR K-8 TEACHERS
MATH 430,ADVANCED LINEAR ALGEBRA
MATH 431,APPLIED GROUP THEORY
MATH 432,RINGS AND POLYNOMIALS
MATH 433,GALOIS THEORY
MATH 443,NUMERICAL METHODS
MATH 444,NUMERICAL LINEAR ALGEBRA
MATH 445,NUMERICAL ANALYSIS
MATH 447,DIFFERENTIAL EQUATIONS
MATH 448,PARTIAL DIFFERENTIAL EQUATIONS
MATH 460,CONTINUOUS FUNCTIONS
MATH 461,ADVANCED CALCULUS I
MATH 462,ADVANCED CALCULUS II
MATH 470,FOUNDATIONS OF GEOMETRY
MATH 481,COMPLEX ANALYSIS
MATH 485,PROBABILITY AND STATISTICAL INFERENCE II
MATH 486,PROBABILITY AND STATISTICAL INFERENCE III
MATH 491,SENIOR THESIS
MATH 492,PROBLEM SOLVING SEMINAR
MATH 494,SENIOR SEMINAR
MATH 495,INTERNSHIP
MATH 496,EXPERIMENTAL COURSE
MATH 497,WORKSHOP SHORT COURSE CONFERENCE SEMINAR
MATH 498,SEMINAR
MATH 499,DIRECTED STUDY
MATH 507,MATHEMATICAL COMPUTING LABORATORY
MATH 510,NUMBER SENSE FOR TEACHERS
MATH 511,RATIO AND PROPORTION - TEACHERS
MATH 512,GEOMETRIC REASONING - TEACHERS
MATH 513,DATA ANALYSIS AND PROBABILITY FOR TEACHERS
MATH 514,ALGEBRAIC REASONING - TEACHERS
MATH 515,MEASUREMENT FOR TEACHERS
MATH 516,CALCULUS FOR MIDDLE LEVEL TEACHERS
MATH 528,PROBLEM-CENTERED LEARNING
MATH 530,APPLIED MATHEMATICS
MATH 531,APPLIED GROUP THEORY
MATH 534,METHODS OF DISCRETE MATHEMATICS
MATH 535,CRYPTOGRAPHY
MATH 539,SEMINAR IN SPECIAL TOPICS
MATH 541,ADVANCED PDE WITH APPLICATION
MATH 544,NUMERICAL LINEAR ALGEBRA
MATH 545,METHODS OF COMPUTATIONAL MODELING
MATH 547,NON-LINEAR DYNAMICS
MATH 548,SPECTRAL THEORY
MATH 550,MATHEMATICAL BIOLOGY
MATH 561,CONTINOUS OPTIMIZATION
MATH 573,TOPICS IN APPLIED MATHEMATICS
MATH 581,APPLIED COMPLEX ANALYSIS
MATH 582,COMPLEX ANALYSIS II
MATH 585,APPLIED LINEAR STATISTICAL MODELING
MATH 586,ADVANCED TOPICS IN STATISTICS
MATH 596,EXPERIMENTAL COURSE
MATH 597,WORKSHOP/SHORT COURSE/CONFERENCE/SEMINAR
MATH 598,SEMINAR
MATH 599,DIRECTED STUDY
MATH 600,THESIS
MATH 601,RESEARCH REPORT
MATH 696,APPLIED MATHEMATICS INTERNSHIP
